ChoiceID,ChoiceText,ChoiceNext
m1_1,일상…,M1_2
m1_2,네 잘 알고있어요,M1_12
m1_3,다음,M1_3
m1_4,그렇죠. 생각만 해도... 으으…,M1_4
m1_5,다음,M1_5
m1_6,너무 설레서 어제 잠도 못 잤어요. 제가 여기 지원하려고 어떤 노력을 했는지 말하자면 끝이 없는데 먼저 LA에 있을 때 얘기부터…,M1_6
m1_7,사이버 대학을 다니고.... 나의 성공시대...,M1_6
m1_8,아... 종강 언제하지...,M1_6
m1_9,다음,M1_7
m1_10,다음,M1_8
m1_11,쿠울.... 쿨... 커흠....,M1_9
m1_12,다음,M1_10
m1_13,...정말요?,M1_11
m1_14,다음,M1_12
m1_15,음음... 그럼요 그럼요...,M1_13
m1_16,누구 목소리…?,M1_14
m1_17,다음,M1_15
m1_18,다음,M1_16
m1_19,눈치 챙겨! 조별발표는 팀의 단결력을 보여주는거라구!! 자연스레 집에 간다. 지력,M1_17
m1_20,오늘만을 기다렸다. 준비한 마이크를 꺼내고 숨겨왔던 노래 실력을 선보인다. 무력,M1_18
m1_21,그래. 나 혼자라도 잘 해야지. 밤새 열심히 만든 보노보노 피피티로 최선을 다해 발표한다.’ 마력,M1_19
m1_22,연애. 결코 연애. 지력,M1_20
m1_23,중앙도서관에서 밤새워 시험공부하기. 마력,M1_21
m1_24,술먹고 조각상 올라가보기.’ 무력,M1_22
m1_25,수트를 입는다. 그런데 반짝이를 곁들인. 무력,M1_23
m1_26,"05학번 이즈 백, KCM룩으로 입는다. 마력",M1_24
m1_27,"오빤 북괴 스타일, 투블럭 남침룩을 입는다.’ 지력",M1_25
m1_28,아무런 생각이 없다. 무력,M1_26
m1_29,이 검사의 원리가 도대체 무엇인지... 그런 게 있긴 한 건지 궁금하다. 마력,M1_27
m1_30,재미없다. 그만 하고 싶다.’ 지력,M1_28
m1_31,다음 (능력치 표기),M1_29
m1_32,기사학부,M1_30
m1_33,마법학부,M1_31
m1_34,관료학부,M1_32
m1_35,다음,RANDOM
m1_36,다음,RANDOM
m1_37,다음,RANDOM
